pl_name,hostname,disc_facility,pl_orbper,pl_rade,st_teff,st_rad,st_lum,st_mass
TOI-813 b,TOI-813,Transiting Exoplanet Survey Satellite (TESS),83.8911,6.71,5907.0,1.94,0.61906,1.32
Kepler-1914 b,Kepler-1914,Kepler,30.82789993,2.9429803,5982.0,0.96,0.07728,1.047
Kepler-224 c,Kepler-224,Kepler,5.925003,3.12,5018.0,0.676,-0.51445,0.777
TOI-1768.01,TOI-1768,Transiting Exoplanet Survey Satellite (TESS),7.337703649,3.453,5994.0,1.1,0.145,1.1
HD 28109 c,HD 28109,Transiting Exoplanet Survey Satellite (TESS),55.99712,4.13,6189.0,1.425,0.43297,1.227
Kepler-911 b,Kepler-911,Kepler,20.310501,2.6,6112.0,1.99,0.70686,1.34
TOI-5803 b,TOI-5803,Transiting Exoplanet Survey Satellite (TESS),5.38305,3.2732,5134.0,0.7625,-0.43899,0.87
TOI-1749 c,TOI-1749,Transiting Exoplanet Survey Satellite (TESS),4.4929,2.12,3985.0,0.55,-1.15649,0.58
TOI-431 b,TOI-431,Transiting Exoplanet Survey Satellite (TESS),0.490047,1.28,4850.0,0.731,-0.56509,0.78
Kepler-795 b,Kepler-795,Kepler,29.6193421,1.68,5631.0,0.96,-0.02178,0.94
TOI-270 c,TOI-270,Transiting Exoplanet Survey Satellite (TESS),5.66051,2.33,3506.0,0.38,-1.7122,0.386
TOI-2158 b,TOI-2158,Transiting Exoplanet Survey Satellite (TESS),8.60077,10.76062147,5673.0,1.41,0.2308,1.12
TOI-3288 b,TOI-3288,Transiting Exoplanet Survey Satellite (TESS),1.4338635,11.2089807,3933.0,0.67,-0.95861,0.64
Kepler-163 b,Kepler-163,Kepler,7.810937,1.05,5776.0,0.917,-0.13799,0.882
Kepler-1987 c,Kepler-1987,Kepler,3.64830183,1.33,4769.0,0.714,-0.61631,0.799
Kepler-668 b,Kepler-668,Kepler,8.35390639,2.7,5352.0,0.82,-0.39647,0.87
HD 219666 b,HD 219666,Transiting Exoplanet Survey Satellite (TESS),6.034468,4.898,5540.0,1.059,-0.0278,1.02
TOI-283 b,TOI-283,Transiting Exoplanet Survey Satellite (TESS),17.61745,2.34,5213.0,0.85,-0.33724,0.8
TOI-2046 b,TOI-2046,Transiting Exoplanet Survey Satellite (TESS),1.4971842,16.14093221,6250.0,1.21,0.27967,1.13
TOI-2459 b,TOI-2459,Transiting Exoplanet Survey Satellite (TESS),19.104718,2.9531,4195.0,0.6751,-0.89565,0.66
Kepler-989 b,Kepler-989,Kepler,7.964315352,2.21,5074.0,0.78,-0.42689,0.82
HD 109833 b,HD 109833,Transiting Exoplanet Survey Satellite (TESS),9.188526,2.888,5881.0,1.0,0.07188,1.08
TOI-1758 b,TOI-1758,Transiting Exoplanet Survey Satellite (TESS),20.705074685,3.62,5169.0,0.81,-0.37263,0.88
HR 858 d,HR 858,Transiting Exoplanet Survey Satellite (TESS),11.230511,2.001,6354.0,1.258,0.36361,1.204
Kepler-1446 b,Kepler-1446,Kepler,0.689967832,0.82,4865.0,0.75,-0.65135,0.81
Kepler-956 b,Kepler-956,Kepler,5.248672631,3.0,6040.0,1.15,0.05208,1.1
Kepler-102 c,Kepler-102,Kepler,7.071392,0.567,4909.0,0.724,-0.58436,0.803
TOI-3493 b,TOI-3493,Transiting Exoplanet Survey Satellite (TESS),8.1594667,3.22,5844.0,1.228,0.19294,1.023
Wolf 327 b,Wolf 327,Transiting Exoplanet Survey Satellite (TESS),0.5734745,1.24,3542.0,0.406,-1.62986,0.405
TOI-880 c,TOI-880,Transiting Exoplanet Survey Satellite (TESS),6.3872703,4.95,5050.0,0.83,-0.44771,0.87
TOI-1278 b,TOI-1278,Transiting Exoplanet Survey Satellite (TESS),14.47567,12.21778896,3799.0,0.573,-1.21183,0.54
TOI-2096 b,TOI-2096,Transiting Exoplanet Survey Satellite (TESS),3.1190633,1.243,3300.0,0.235,-2.22768,0.231
Kepler-98 b,Kepler-98,Kepler,1.54168,1.99,5539.0,1.11,-0.13324,0.99
Kepler-238 b,Kepler-238,Kepler,2.090876,1.73,5751.0,1.43,0.43048,1.229
Kepler-67 b,Kepler-67,Kepler,15.7259,2.94,5331.0,0.778,-0.37633,0.865
TOI-1442 b,TOI-1442,Transiting Exoplanet Survey Satellite (TESS),0.4090677,1.17,3330.0,0.31,-1.97722,0.29
TOI-4495.01,TOI-4495,Transiting Exoplanet Survey Satellite (TESS),5.1830043,3.63045,6156.0,1.34,0.36656,1.168817
TOI-700 c,TOI-700,Transiting Exoplanet Survey Satellite (TESS),16.051137,2.6,3459.0,0.421,-1.64016,0.415
Kepler-1542 d,Kepler-1542,Kepler,5.99273738,0.87,5564.0,0.99,0.07026,0.94
TOI-1295 b,TOI-1295,Transiting Exoplanet Survey Satellite (TESS),3.1968838,15.69257298,6280.0,1.7,0.58659,1.38
HD 108236 e,HD 108236,Transiting Exoplanet Survey Satellite (TESS),19.590025,3.083,5660.0,0.877,-0.14997,0.869
Kepler-1764 b,Kepler-1764,Kepler,70.46829987,4.55527871,6461.0,1.131,0.41465,1.162
